EventName,SoundID,SoundName,Size,UsageCount
"Play__Robot_Vic_Sfx__Lift_High_Down_Short_Neutral",280407689,"Robot_Vic_Sfx_Lift_High_Down_Short_Neutral_04_WM",11044,4
"Play__Robot_Vic_Sfx__Lift_High_Up_Short_Neutral",102332682,"Robot_Vic_Sfx_Lift_High_Up_Short_Neutral_01_WM",20772,3
