time,duration,scale_x,scale_y,angle,center_x,center_y,l_lid_top,l_lid_bottom,r_lid_top,r_lid_bottom,sound
0,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
33,33,0.9593675628903022,1.0449378516749561,0.0,0.0,-1.4288598023378503,0.6,0.6,0.6,0.6,
66,33,0.9777441857533878,0.7216947556430724,0.0,0.0,1.987814344006388,0.6,0.6,0.6,0.6,surprised.wav
99,33,1.0986200527201404,0.5921665964359027,0.0,0.0,11.349130580349154,0.6,0.6,0.6,0.6,
132,33,1.3040898192565722,0.5921665964359027,0.0,0.0,12.984136746403859,0.6,0.6,0.6,0.6,
165,66,1.0342046731103294,0.6735905862834214,0.0,0.0,5.526034442776719,0.5777957566792942,0.5923520372256555,0.5777957566792942,0.5923520372256555,
231,33,0.8484317926133051,0.9792855558857653,0.0,0.0,-1.2661573404343356,0.5260445969820903,0.5745270234579364,0.5260445969820903,0.5745270234579364,
264,33,0.854498414227636,1.0696274106085106,0.0,0.0,-2.7824888275966195,0.5143550614772774,0.570500715013243,0.5143550614772774,0.570500715013243,
297,33,1.007954485376911,1.105263988874368,0.0,-0.03454035104075359,-3.3150408487062997,0.5143550614772774,0.570500715013243,0.5143550614772774,0.570500715013243,
330,33,1.130270744516928,0.9690480770523956,0.0,-0.27632293274664477,-0.4675216717107777,0.5143550614772774,0.570500715013243,0.5143550614772774,0.570500715013243,
363,33,1.0450344931876203,0.8328321652304231,0.0,-1.7811473979576888,-0.9787679531188677,0.5702758628902147,0.6174747530049026,0.5702758628902147,0.6174747530049026,
396,33,1.02444088625925,0.8391002004556817,0.0,-2.354926503652706,-1.3004123957437863,0.5753038954854011,0.6216983511762411,0.5753038954854011,0.6216983511762411,
429,33,1.012639976314958,0.8538278089027029,0.0,-2.8302437907204947,-1.602591528871754,0.5778188324374812,0.6238109236019391,0.5778188324374812,0.6238109236019391,
462,33,1.0053052203053399,0.8709002447283637,0.0,-3.1667622310973726,-1.874956756174943,0.5787617035546531,0.6246029448519641,0.5787617035546531,0.6246029448519641,
495,33,0.998110075180999,0.884202762089517,0.0,-3.3241447915038833,-2.1071594813251786,0.5790735386451142,0.6248648894962826,0.5790735386451142,0.6248648894962826,
528,33,0.9909194146964035,0.8920747519525316,0.0,-3.362404450256058,-2.2860575597801005,0.5792916823397628,0.6250481324066572,0.5792916823397628,0.6250481324066572,
561,33,0.9865408281540825,0.896868217756644,0.0,-3.376500114129314,-2.3996881573613216,0.5793720510725959,0.6251156429521679,0.5793720510725959,0.6251156429521679,
594,330,0.9850618477152593,0.8984873342023493,0.0,-3.3785137799052123,-2.439471614284839,0.5793835323217355,0.6251252873156066,0.5793835323217355,0.6251252873156066,
924,33,0.9850618477152593,0.8984873342023493,0.0,-3.3785137799052123,-2.439471614284839,0.5793835323217355,0.6251252873156066,0.5793835323217355,0.6251252873156066,
957,33,0.9917039304212828,0.8480731414647972,0.0,-3.720642144912908,-1.2480922689877516,0.5745448074690152,0.6202865624628862,0.5745448074690152,0.6202865624628862,
990,33,1.0007170358224826,0.8038305724927374,0.0,-4.020888025333768,-0.2025596369154294,0.5679788042259131,0.6137205592197841,0.5679788042259131,0.6137205592197841,
1023,33,1.0035590439105337,0.7866467937114183,0.0,-4.133047355912119,0.2035243981717869,0.5659084152435461,0.6116501702374171,0.5659084152435461,0.6116501702374171,
1056,33,1.004030029303404,0.7837990511643946,0.0,-4.156829182932199,0.2708217589299622,0.565565304651564,0.611307059645435,0.565565304651564,0.611307059645435,
1089,33,1.0010662509302564,0.7881898310677046,0.0,-4.170568550577713,0.26337194626687577,0.565565304651564,0.611307059645435,0.565565304651564,0.611307059645435,
1122,33,0.9945459385093316,0.7978495468549864,0.0,-4.177623901648545,0.248238634888569,0.565565304651564,0.611307059645435,0.565565304651564,0.611307059645435,
1155,33,0.9880256260884069,0.8075092626422681,0.0,-4.180223241459089,0.240408028524552,0.565565304651564,0.611307059645435,0.565565304651564,0.611307059645435,
1188,231,0.9850618477152593,0.811900042545578,0.0,-4.180594575671087,0.23842538128295843,0.565565304651564,0.611307059645435,0.565565304651564,0.611307059645435,
1419,33,0.9850618477152593,0.811900042545578,0.0,-4.180594575671087,0.24074302016249405,0.565565304651564,0.611307059645435,0.565565304651564,0.611307059645435,
1452,33,0.9995498215519384,0.8656011501687385,0.0,-6.203576145201957,-1.3692501114498608,0.5612355765908283,0.6069773315846994,0.5612355765908283,0.6069773315846994,
1485,33,1.0044140549651601,0.879101042607503,0.0,-6.93685629457859,-1.9123141830484414,0.5596758058049852,0.6054175607988562,0.5596758058049852,0.6054175607988562,
1518,165,1.0064273908406947,0.8910935408042188,0.0,-7.163907716464628,-2.1335280872322637,0.5591802163952022,0.6049219713890733,0.5591802163952022,0.6049219713890733,
1683,198,1.0094901899836577,0.9241254332606871,0.0,-7.163907716464628,-2.4033136848968857,0.5591802163952022,0.6049219713890733,0.5591802163952022,0.6049219713890733,
1881,33,1.0094901899836577,0.9241254332606871,0.0,-7.163907716464628,-2.4033136848968857,0.5591802163952022,0.6049219713890733,0.5591802163952022,0.6049219713890733,
1914,33,1.0003436646733241,0.9241254332606871,0.0,-7.163907716464628,-2.4033136848968857,0.5591802163952022,0.6049219713890733,0.5591802163952022,0.6049219713890733,
1947,33,0.9935808413994005,0.7702959722651248,0.0,-6.594533241319027,3.6486319406326544,0.4219121603240486,0.4568154417290492,0.4219121603240486,0.4568154417290492,
1980,33,1.1144092275107262,0.5175841662274078,0.0,-1.6680220788083986,8.92399519965737,0.4219121603240486,0.4568154417290492,0.4219121603240486,0.4568154417290492,
2013,33,1.0502803628291006,0.9254414930652475,0.0,-0.2182601137004312,2.557752387408957,0.49402154826281264,0.5147921731898394,0.49402154826281264,0.5147921731898394,
2046,33,1.0072871207425276,0.9770815550783869,0.0,0.0,0.6744163998520847,0.5729047491085132,0.5782151238557474,0.5729047491085132,0.5782151238557474,
2079,33,1.0042170839488753,0.9886922471688298,0.0,-0.03961319052050527,0.3184391993026594,0.5843198782757922,0.5873930119420442,0.5843198782757922,0.5873930119420442,
2112,33,1.0021591471245483,0.994650404605452,0.0,-0.052784604539965585,0.10792269298084989,0.5919717779225637,0.5935452224610398,0.5919717779225637,0.5935452224610398,
2145,33,1.0009108902935218,0.9980003087373457,0.0,-0.04569399882900882,0.006794728171048092,0.5966130939835991,0.597276890969534,0.5966130939835991,0.597276890969534,
2178,33,1.0002698934797714,0.9995504518545218,0.0,-0.027324497360702082,-0.02093857856008171,0.5989964723936694,0.5991931530243259,0.5989964723936694,0.5991931530243259,
2211,33,1.000033736707272,0.9999981776746106,0.0,-0.008468326526525516,-0.011225290972748802,0.599874559087546,0.5998991441822148,0.599874559087546,0.5998991441822148,
2244,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
