time,duration,scale_x,scale_y,angle,center_x,center_y,l_lid_top,l_lid_bottom,r_lid_top,r_lid_bottom,sound
0,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
33,33,0.9833988586365676,1.0162066598457637,0.0,0.0,-0.18979949832586665,0.6,0.6,0.6,0.6,blink.wav
66,33,0.9411515161967067,0.9774621495726533,0.0,0.0,0.2298378452271912,0.6,0.6,0.6,0.6,
99,33,1.0068312301138644,0.659070633562922,0.0,0.0,4.371792635259148,0.6,0.6,0.6,0.6,head_curious.wav
132,33,1.1696284761607565,0.0735000002091807,0.0,0.0,12.114586637938523,0.01,0.01,0.01,0.01,
165,33,1.426999999903594,0.03242914513716865,0.0,0.0,13.775566830180221,0.01,0.01,0.01,0.01,
198,33,1.0809279690399132,0.27264950312407604,0.0,0.0,10.301176822890476,0.6,0.6,0.6,0.6,
231,33,0.9162302505927492,0.6485190379545985,0.0,0.0,4.79910000730203,0.6,0.6,0.6,0.6,
264,66,0.8931328061542894,0.9241452408850999,0.0,0.0,0.9540648214217775,0.6,0.6,0.6,0.6,
330,66,0.954171737225278,1.0536289916969093,0.0,0.0,-0.9231966149529084,0.6,0.6,0.6,0.6,
396,66,0.9880229735784373,1.0230017742592143,0.0,0.0,-0.3423811804453746,0.6,0.6,0.6,0.6,
462,66,0.9982070319728199,1.004059136633979,0.0,0.0,-0.0641964713335077,0.6,0.6,0.6,0.6,
528,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
