time,duration,scale_x,scale_y,angle,center_x,center_y,l_lid_top,l_lid_bottom,r_lid_top,r_lid_bottom,sound
0,66,1.1161807909290271,1.1393594323050609,5.651890930084013,1.5314575489670346,-2.0480994143061113,0.4570316404670962,0.4570316404670962,0.4570316404670962,0.4570316404670962,happy.wav
66,66,1.0488835370111576,1.1758121115105735,5.927347160646575,1.5314575489670346,-2.636447106118496,0.4570316404670962,0.4570316404670962,0.4570316404670962,0.4570316404670962,
132,198,1.0837934824151882,1.0716030734493724,4.08657872044607,1.018519481464853,1.4366682244347153,0.4570316404670962,0.4570316404670962,0.4570316404670962,0.4570316404670962,
330,396,1.0876723662654113,1.0704665466282504,4.08657872044607,0.8063155648287064,1.8371770897540856,0.4570316404670962,0.4570316404670962,0.4570316404670962,0.4570316404670962,
726,66,1.0876723662654113,1.0704665466282504,4.08657872044607,0.8063155648287064,1.8371770897540856,0.4570316404670962,0.4570316404670962,0.4570316404670962,0.4570316404670962,
792,66,1.0945505946611116,1.040074753448816,4.08657872044607,0.8063155648287064,2.6340536077860506,0.4816248692368759,0.4816248692368759,0.4816248692368759,0.4816248692368759,curious_short.wav
858,33,1.1469774298464004,0.7395876870792683,3.4136223816973326,0.7010784936163288,5.539804475583548,0.35218687570527846,0.35218687570527846,0.35218687570527846,0.35218687570527846,emote_curious.wav
891,33,1.092754010025821,0.7981939747625996,0.40000243444680333,0.10758310628371556,4.267824586924064,0.4933245983909352,0.4933245983909352,0.4933245983909352,0.4933245983909352,
924,33,1.0662621945448438,0.9055388799422065,0.11430583211078466,0.04834545283156247,1.5741750627961437,0.5303763405335358,0.5303763405335358,0.5303763405335358,0.5303763405335358,
957,33,1.0663320201466977,1.0025974383616105,0.0530559981008771,0.018593673158016303,-0.857708884024446,0.5466622991954672,0.5466622991954672,0.5466622991954672,0.5466622991954672,
990,165,1.0681474857948967,1.0665828690574326,0.00537191952309904,0.004116626223147097,-3.1594759606247256,0.5864988951991672,0.5864988951991672,0.5864988951991672,0.5864988951991672,
1155,33,1.086444501055706,1.0856758574741585,0.0,0.0,-4.0353414251241,0.6,0.6,0.6,0.6,
