time,duration,scale_x,scale_y,angle,center_x,center_y,l_lid_top,l_lid_bottom,r_lid_top,r_lid_bottom,sound
0,264,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
264,66,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,head_curious.wav
330,99,1.101271412584058,0.7345507782857373,0.0,0.0,0.0,0.41676850151226896,0.41676850151226896,0.41676850151226896,0.41676850151226896,curious_short.wav
429,99,1.025251704516955,0.7894773604241331,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
528,132,1.0047978249419072,0.9600006894459339,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
660,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
